col_name
Round 3 fighters_a
Round 1 significant strike percentage_b
Round 4 landed_significant strikes_b
Round 4 significant strike percentage_a
Round 4 significant strike percentage_b
Round 1 fighters_a
Round 1 fighters_b
Round 5 significant strike percentage_b
Round 5 significant strike percentage_a
Round 1 landed_significant strikes_a
Round 1 attempted_significant strikes_a
Round 1 landed_significant strikes_b
Round 1 attempted_significant strikes_b
Round 1 significant strike percentage_a
Round 5 attempted_significant strikes_b
Round 4 landed_significant strikes_a
Round 5 landed_significant strikes_b
Round 5 attempted_significant strikes_a
Round 5 landed_significant strikes_a
Round 5 fighters_b
Round 5 fighters_a
Round 2 significant strike percentage_b
Round 2 significant strike percentage_a
Round 2 attempted_significant strikes_b
Round 2 landed_significant strikes_b
Round 2 attempted_significant strikes_a
Round 2 landed_significant strikes_a
Round 2 fighters_a
Round 4 attempted_significant strikes_a
Round 4 attempted_significant strikes_b
Round 3 landed_significant strikes_a
attempted_significant strikes_b
Round 3 significant strike percentage_b
Round 3 significant strike percentage_a
Round 3 attempted_significant strikes_b
Round 3 landed_significant strikes_b
fighters_a
fighters_b
Round 3 attempted_significant strikes_a
landed_significant strikes_a
attempted_significant strikes_a
landed_significant strikes_b
Round 2 fighters_b
significant strike percentage_a
Round 3 fighters_b
Round 4 fighters_b
significant strike percentage_b
Round 4 fighters_a
