col_name
event_id
event_date
event_location
fight_id
matchup
method
round
time
time format
referee
details:
fighters_a
fighters_b
knockdowns_a
knockdowns_b
landed_significant strikes_a
attempted_significant strikes_a
landed_significant strikes_b
attempted_significant strikes_b
significant strike percentage_a
significant strike percentage_b
landed_total strike_a
attempted_total strike_a
landed_total strike_b
attempted_total strike_b
landed_takedowns_a
attempted_takedowns_a
landed_takedowns_b
attempted_takedowns_b
takedown percentage_a
takedown percentage_b
submission attempts_a
submission attempts_b
reversals_a
reversals_b
control_a
control_b
Round 1 fighters_a
Round 1 fighters_b
Round 1 knockdowns_a
Round 1 knockdowns_b
Round 1 landed_significant strikes_a
Round 1 attempted_significant strikes_a
Round 1 landed_significant strikes_b
Round 1 attempted_significant strikes_b
Round 1 significant strike percentage_a
Round 1 significant strike percentage_b
Round 1 landed_total strike_a
Round 1 attempted_total strike_a
Round 1 landed_total strike_b
Round 1 attempted_total strike_b
Round 1 landed_takedowns_a
Round 1 attempted_takedowns_a
Round 1 landed_takedowns_b
Round 1 attempted_takedowns_b
Round 1 takedown percentage_a
Round 1 takedown percentage_b
Round 1 submission attempts_a
Round 1 submission attempts_b
Round 1 reversals_a
Round 1 reversals_b
Round 1 control_a
Round 1 control_b
Round 2 fighters_a
Round 2 fighters_b
Round 2 knockdowns_a
Round 2 knockdowns_b
Round 2 landed_significant strikes_a
Round 2 attempted_significant strikes_a
Round 2 landed_significant strikes_b
Round 2 attempted_significant strikes_b
Round 2 significant strike percentage_a
Round 2 significant strike percentage_b
Round 2 landed_total strike_a
Round 2 attempted_total strike_a
Round 2 landed_total strike_b
Round 2 attempted_total strike_b
Round 2 landed_takedowns_a
Round 2 attempted_takedowns_a
Round 2 landed_takedowns_b
Round 2 attempted_takedowns_b
Round 2 takedown percentage_a
Round 2 takedown percentage_b
Round 2 submission attempts_a
Round 2 submission attempts_b
Round 2 reversals_a
Round 2 reversals_b
Round 2 control_a
Round 2 control_b
Round 3 fighters_a
Round 3 fighters_b
Round 3 knockdowns_a
Round 3 knockdowns_b
Round 3 landed_significant strikes_a
Round 3 attempted_significant strikes_a
Round 3 landed_significant strikes_b
Round 3 attempted_significant strikes_b
Round 3 significant strike percentage_a
Round 3 significant strike percentage_b
Round 3 landed_total strike_a
Round 3 attempted_total strike_a
Round 3 landed_total strike_b
Round 3 attempted_total strike_b
Round 3 landed_takedowns_a
Round 3 attempted_takedowns_a
Round 3 landed_takedowns_b
Round 3 attempted_takedowns_b
